symbol,code,name,change_date,total_shares
sh600667,600667,太极实业,2025-09-18,2091542178.0000002
sh600668,600668,尖峰集团,2025-07-15,412900594.0
sh600671,600671,天目药业,2025-06-30,121778884.99999999
sh600674,600674,川投能源,2025-06-30,4874606828.0
sh600675,600675,中华企业,2025-12-31,6046135331.0
sh600676,600676,交运股份,2025-06-30,1028492944.0
sh600678,600678,四川金顶,2025-06-30,348990000.0
sh600679,600679,上海凤凰,2025-06-30,515294257.0
sh600681,600681,百川能源,2025-06-30,1340854810.0
sh600682,600682,南京新百,2025-12-10,1345132221.0000002
sh600684,600684,珠江股份,2025-12-25,1106074283.0
sh600685,600685,中船防务,2025-12-31,1413506378.0
sh600686,600686,金龙汽车,2025-06-30,717047417.0
sh600688,600688,上海石化,2025-12-31,10542617500.0
sh600689,600689,上海三毛,2025-06-30,200991343.00000003
sh600690,600690,海尔智家,2026-03-26,9377629650.0
sh600691,600691,潞化科技,2025-06-30,2375981952.0
sh600692,600692,亚通股份,2025-06-30,351764064.0
sh600693,600693,东百集团,2025-06-30,869846246.0
sh600694,600694,大商股份,2025-12-11,344357828.0
sh600697,600697,欧亚集团,2025-06-30,159088075.0
sh600698,600698,湖南天雁,2026-01-05,1068637732.0
sh600699,600699,均胜电子,2025-12-03,1550770563.0
sh600702,600702,舍得酒业,2025-12-31,332758879.0
